placeDcid,placeName,Date:RetailDrugDistribution_DrugDistribution_TincuredOpium,Value:RetailDrugDistribution_DrugDistribution_TincuredOpium,Source:RetailDrugDistribution_DrugDistribution_TincuredOpium
geoId/06013,Contra Costa County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06013,Contra Costa County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06029,Kern County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06029,Kern County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06029,Kern County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06029,Kern County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06037,Los Angeles County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06037,Los Angeles County,2016-04,1.18,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06037,Los Angeles County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06037,Los Angeles County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06037,Los Angeles County,2017-01,1.09,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06037,Los Angeles County,2017-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06037,Los Angeles County,2017-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06037,Los Angeles County,2017-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06053,Monterey County,2011-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06053,Monterey County,2011-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06053,Monterey County,2011-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06053,Monterey County,2011-10,0.27,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06053,Monterey County,2012-01,2.63,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06053,Monterey County,2012-04,11.73,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06053,Monterey County,2012-07,37.55,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06053,Monterey County,2012-10,6.5,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06053,Monterey County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06053,Monterey County,2016-04,0.32,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06053,Monterey County,2016-07,0.01,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06053,Monterey County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06055,Napa County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06055,Napa County,2016-04,0.85,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06055,Napa County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06055,Napa County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06059,Orange County,2017-01,0.09,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06059,Orange County,2017-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06059,Orange County,2017-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06059,Orange County,2017-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06067,Sacramento County,2016-01,4.73,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06067,Sacramento County,2016-04,4.73,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06067,Sacramento County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06067,Sacramento County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06069,San Benito County,2011-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06069,San Benito County,2011-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06069,San Benito County,2011-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06069,San Benito County,2011-10,0.53,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06069,San Benito County,2012-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06069,San Benito County,2012-04,0.71,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06069,San Benito County,2012-07,0.36,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06069,San Benito County,2012-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06069,San Benito County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06069,San Benito County,2016-04,0.64,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06069,San Benito County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06069,San Benito County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06075,San Francisco County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06075,San Francisco County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06075,San Francisco County,2016-07,9.46,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06075,San Francisco County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06079,San Luis Obispo County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06079,San Luis Obispo County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06079,San Luis Obispo County,2016-07,0.65,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06079,San Luis Obispo County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06081,San Mateo County,2011-01,1.8,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06081,San Mateo County,2011-04,1.8,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06081,San Mateo County,2011-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06081,San Mateo County,2011-10,1.8,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06081,San Mateo County,2012-01,2.23,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06081,San Mateo County,2012-04,1.8,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06081,San Mateo County,2012-07,3.35,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06081,San Mateo County,2012-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06081,San Mateo County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06081,San Mateo County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06081,San Mateo County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06081,San Mateo County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06083,Santa Barbara County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06083,Santa Barbara County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06083,Santa Barbara County,2016-07,0.56,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06083,Santa Barbara County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06085,Santa Clara County,2011-01,0.83,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06085,Santa Clara County,2011-04,0.83,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06085,Santa Clara County,2011-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06085,Santa Clara County,2011-10,5.38,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06085,Santa Clara County,2012-01,1.02,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06085,Santa Clara County,2012-04,6.9,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06085,Santa Clara County,2012-07,4.57,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06085,Santa Clara County,2012-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06085,Santa Clara County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06085,Santa Clara County,2016-04,5.47,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06085,Santa Clara County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06085,Santa Clara County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06085,Santa Clara County,2017-01,4.73,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06085,Santa Clara County,2017-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06085,Santa Clara County,2017-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06085,Santa Clara County,2017-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06087,Santa Cruz County,2011-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06087,Santa Cruz County,2011-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06087,Santa Cruz County,2011-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06087,Santa Cruz County,2011-10,2.53,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06087,Santa Cruz County,2012-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06087,Santa Cruz County,2012-04,3.37,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06087,Santa Cruz County,2012-07,1.68,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06087,Santa Cruz County,2012-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06087,Santa Cruz County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06087,Santa Cruz County,2016-04,3.03,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06087,Santa Cruz County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06087,Santa Cruz County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06095,Solano County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06095,Solano County,2016-04,1.82,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06095,Solano County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06095,Solano County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06097,Sonoma County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06097,Sonoma County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06097,Sonoma County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06097,Sonoma County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06101,Sutter County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06101,Sutter County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06101,Sutter County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06101,Sutter County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06111,Ventura County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06111,Ventura County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06111,Ventura County,2016-07,1.15,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06111,Ventura County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08001,Adams County,2011-01,1.62,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08001,Adams County,2011-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08001,Adams County,2011-07,5.69,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08001,Adams County,2011-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08001,Adams County,2012-01,2.44,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08001,Adams County,2012-04,4.87,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08001,Adams County,2012-07,0.81,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08001,Adams County,2012-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08013,Boulder County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08013,Boulder County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08013,Boulder County,2016-07,0.03,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08013,Boulder County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08015,Chaffee County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08015,Chaffee County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08015,Chaffee County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08015,Chaffee County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08019,Clear Creek County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08019,Clear Creek County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08019,Clear Creek County,2016-07,0.05,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08019,Clear Creek County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08037,Eagle County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08037,Eagle County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08037,Eagle County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08037,Eagle County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08047,Gilpin County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08047,Gilpin County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08047,Gilpin County,2016-07,0.03,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08047,Gilpin County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08049,Grand County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08049,Grand County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08049,Grand County,2016-07,0.08,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08049,Grand County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08057,Jackson County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08057,Jackson County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08057,Jackson County,2016-07,0.01,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08057,Jackson County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08059,Jefferson County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08059,Jefferson County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08059,Jefferson County,2016-07,0.58,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08059,Jefferson County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08065,Lake County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08065,Lake County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08065,Lake County,2016-07,0.04,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08065,Lake County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08069,Larimer County,2011-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08069,Larimer County,2011-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08069,Larimer County,2011-07,0.01,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08069,Larimer County,2011-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08069,Larimer County,2012-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08069,Larimer County,2012-04,0.01,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08069,Larimer County,2012-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08069,Larimer County,2012-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08087,Morgan County,2011-01,0.07,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08087,Morgan County,2011-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08087,Morgan County,2011-07,0.24,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08087,Morgan County,2011-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08087,Morgan County,2012-01,0.1,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08087,Morgan County,2012-04,0.2,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08087,Morgan County,2012-07,0.03,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08087,Morgan County,2012-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08093,Park County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08093,Park County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08093,Park County,2016-07,0.08,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08093,Park County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08107,Routt County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08107,Routt County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08107,Routt County,2016-07,0.12,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08107,Routt County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08117,Summit County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08117,Summit County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08117,Summit County,2016-07,0.16,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08117,Summit County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08123,Weld County,2011-01,3.55,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08123,Weld County,2011-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08123,Weld County,2011-07,12.45,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08123,Weld County,2011-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08123,Weld County,2012-01,5.34,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08123,Weld County,2012-04,10.66,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08123,Weld County,2012-07,1.78,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/08123,Weld County,2012-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09001,Fairfield County,2017-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09001,Fairfield County,2017-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09001,Fairfield County,2017-07,0.57,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09001,Fairfield County,2017-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09003,Hartford County,2017-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09003,Hartford County,2017-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09003,Hartford County,2017-07,0.33,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09003,Hartford County,2017-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09007,Middlesex County,2017-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09007,Middlesex County,2017-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09007,Middlesex County,2017-07,1.09,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09007,Middlesex County,2017-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09009,New Haven County,2017-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09009,New Haven County,2017-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09009,New Haven County,2017-07,2.61,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09009,New Haven County,2017-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09011,New London County,2017-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09011,New London County,2017-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09011,New London County,2017-07,0.13,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/09011,New London County,2017-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/10003,New Castle County,2017-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/10003,New Castle County,2017-04,1.18,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/10003,New Castle County,2017-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/10003,New Castle County,2017-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/11001,District of Columbia,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/11001,District of Columbia,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/11001,District of Columbia,2016-07,1.18,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/11001,District of Columbia,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/12009,Brevard County,2011-01,0.11,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/12009,Brevard County,2011-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/12009,Brevard County,2011-07,0.22,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/12009,Brevard County,2011-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/12009,Brevard County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/12009,Brevard County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/12009,Brevard County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/12009,Brevard County,2016-10,3.67,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/12011,Broward County,2011-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/12011,Broward County,2011-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/12011,Broward County,2011-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/12011,Broward County,2011-10,6.04,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/12011,Broward County,2012-01,3.02,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/12011,Broward County,2012-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/12011,Broward County,2012-07,1.62,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/12011,Broward County,2012-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
